나이,질문,질문 확률,답변 개수,답변1 내용,자산,자산확률,행복,행복확률,건강,건강확률,답변2 내용,자산,자산확률,행복,행복확률,건강,건강확률,답변3 내용,자산,자산확률,행복,행복확률,건강,건강확률,답변4 내용,자산,자산확률,행복,행복확률,건강,건강확률,답변5 내용,자산,자산확률,행복,행복확률,건강,건강확률,답변6 내용,자산,자산확률,행복,행복확률,건강,건강확률,답변7 내용,자산,자산확률,행복,행복확률,건강,건강확률,
11,춤과 노래에 자신이 있어서 장기 자랑에 참여하려고 해. 혼자 나가서 허각의 “Hello”를 부를지 친구들과 함께 티아라의 “Roly-Poly”를 출지 고민 중이야. 어떤 걸 고를래?,1,2,"""Hello""를 부른다",0,0,5,1,0,0,"""Roly-Poly""를 춘다",0,0,5,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
12,12살인 넌 아직 살면서 많은 음식을 먹어보지 못했지만… 중국집 짜장면과 엄마가 해준 오므라이스라면 사족을 못 쓰는구나. 둘 중 너의 진정한 소울 푸드는 뭐야?,1,2,짜장면(외식),-3,1,5,1,-3,1,오므라이스(집밥),2,1,3,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
17,질풍노도의 시기를 보내고 고등학생이 됐어. 선생님이 체력의 중요성에 대해 설교하고 있군. 대학에 가려면 공부할 시간도 부족한데 운동을 어떻게 할 수 있을지 모르겠네. 귀찮을 것 같기도 한데… 어때? 공부 시간을 좀 포기하고 주기적으로 운동을 할래?,0.7,2,주기적으로 운동한다,0,0,0,0,5,1,운동하지 않는다,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
18,너는 고등학교 2학년이 되며 여러 고민을 하고 있구나. 4년제 대학에 가서 전공을 깊이 있게 공부하고 싶다는 생각을 하면서 또 졸업하자마자 취직하여 사회 경험을 쌓는 것도 의미 있을 것이라 생각하고 있어. 둘 다 합리적이야. 어떻게 하고 싶어?,1,2,대학에 진학한다,-7,1,3,1,0,0,고졸 후 취직한다,7,1,-3,1,-3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
20,졸업 축하해! 드디어 성인이 된 너는 친구들과 처음 술을 마셔봤어. 으웩. 너무 쓰고 다음 날 아침엔 머리가 깨질 것 같지만… 은근 나쁘지 않은 것 같기도 하고…? 새로운 사람을 만나면서 점점 술자리는 늘고 있어. 어때? 지금처럼 많이 술을 마실래? 아니면 금주해볼래?,1,2,술을 마신다,-2,1,3,0.7,-3,1,술을 안 마신다,0,0,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
21,"21살인 넌 주변 친구들이 하나둘 담배를 피우는 모습이 괜히 설레고 멋있어 보여. 그들 사이에 껴보고 싶고, 담배로 스트레스도 해소하고 싶다는 생각이 들어. 하지만 담배로 인한 각종 질병에 대한 두려움이 있고 불쾌한 냄새도 마음에 걸려. 어떻게 할래?",1,2,담배를 피운다,-5,1,5,0.6,-10,1,담배를 안 피운다,3,1,-1,0.6,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
22,"너가 어느덧 대학교 3학년이 됐구나. 2년 간의 대학생활 동안 여러 교양 수업을 들으면서 원래 전공대로 갈지, 아니면 새로운 전공을 탐색할지 고민하게 됐어. 인생의 중요한 결정 중 하나지. 너는 어떠한 전공을 선택할래?",1,7,의약,12,1,-8,0.8,-5,1,공학,10,1,-6,0.8,-3,1,사회과학,8,1,-4,0.8,-1,1,자연과학,6,1,-2,0.8,0,0,인문학,4,1,-1,0.8,0,0,교육,2,1,2,0.8,0,0,예체능,1,1,4,0.8,0,0,16
22,너는 일찍부터 일하며 많은 경험을 쌓을 수 있었어. 이제 전문대에 가서 기술을 깊이 있게 공부할지 아니면 일단은 일을 더 할지 고민하고 있군. 어떤 선택을 할래?,1,2,전문대에 진학한다,-4,1,3,0.7,0,0,일을 계속한다,3,1,-1,0.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
23,"따스한 봄이 오자 너는 초등학교 장기자랑 때를 추억하고 았어. 더 나이가 들기 전에 지역 축제에 나가볼까 하는 생각이 드는데… 춤과 노래 실력은 아직 녹슬지 않있지만, 더 많은 사람 앞에 서야 한다니 긴장도 되는 것 같아. 어떻게 할까? 축제에 나가서 데이식스의 “한 페이지”를 불러 볼래?",0.6,2,"""한 페이지""를 부른다",0,0,3,0.7,0,0,축제에 참여하지 않는다,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
25,"너도 이제는 확실히 20대 중반이 됐구나. 인생에 대한 고민에 조금은 지쳐 있어. 대인관계에 대한 이런저런 생각도 들고. 일주일에 1번 이상으로 친구를 자주 만나며 스트레스를 풀지, 아니면 1달에 한 번 이하로 만나는 대신 자신을 위해 살지 마음을 정할 시간이야. 선택은 항상 너의 몫이란다.",0.7,2,1주일에 1번 이상 친구를 본다,-3,1,5,1,0,0,1달에 1번 이하 친구를 본다,2,1,-2,0.6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
27,너가 드디어 졸업하고 사회에 첫발을 내딛을 시기가 되었어. 고정 수입을 얻으며 커리어를 쌓을 수 있는 회사 생활도 좋고… 회사원보다 더 자유롭게 일할 수 있는 프리랜서의 삶도 동경하고 있어. 너의 진로를 결정할 중요한 순간이야. 취업을 할래 아니면 프리랜서로 살래?,1,2,취직한다,3,1,-2,0.7,-2,1,프리랜서로 일한다,2,0.85,2,0.6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
27,뚝심 있고 모험심이 강한 너는 여러 경험을 하며 사회생활의 잔뼈가 굵어졌어. 이제는 본격적으로 너의 길을 결정해야 할 때야. 안정적인 취직을 할까 아니면 자유로운 프리랜서로 살까?,1,2,취직한다,3,1,-2,0.7,-2,1,프리랜서로 일한다,2,0.85,2,0.6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
28,"긴장되던 첫 일자리 적응도 잘 마친 너, 아주 대견해! 그런데 어느덧 반복적인 일상 속 문득 외로움을 느끼게 됐구나. 유튜브에서 귀여운 반려동물들과의 행복한 모습을 보며 반려동물을 기르고 싶다는 생각을 하고 있네. 한편으로 일로도 바쁜데 반려동물을 기르는 책임감이 부담스럽기도 하고… 반려동물을 기를까?",0.5,2,반려동물을 기른다,-2,1,4,1,0,0,반려동물를 기르지 않는다,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
29,"이제 돈을 버는 재미도 알았으니, 슬슬 너만의 취미 생활도 본격적으로 즐기고 싶어졌어. 골프, 캠핑, 여행 등등 다 재미있어 보이지만 한편으로는 돈이 아깝기도 해. 역시 쉬는 시간엔 침대가 짱이라는 생각도 들고. 귀차니즘을 극복하고 취미 생활에 돈을 써볼까? 아님 그냥 유튜브 보면서 쉴까?",0.7,2,취미생활에 본격적으로 투자한다,-5,1,3,1,0,0,가벼운 취미생활만 즐기기,1,0,-2,0.8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
30,어느 정도 돈을 쓰면서도 남는 돈이 생겼네. 배민도 아껴서 시키던 학생 때 생각하면 상상도 못할 일인데… 저마다의 방법으로 재테크하는 다른 사람들을 보니 너도 재테크에 관심을 가지게 됐어. 어떠한 방식으로 재테크를 해볼래?,1,3,인생은 안전하게. 예적금 100,10,1,0,0,0,0,반이 좋아. 예금과 주식 반반,15,0.8,0,0,0,0,인생은 한 방. 주식 100,25,0.4,-5,0.4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24
31,31살인 네 주변에 이제 차 없는 사람은 너밖에 없네. 사회 생활을 위해선 아무래도 자동차가 필요한가 봐. 너는 열심히 번 돈으로 멋있는 외제차를 사서 남들의 시선을 즐길 수도 있고 아니면 합리적인 국산차를 사서 돈을 아낄 수도 있어. 어떤 걸 선택할래?,1,2,외제차를 구입한다,-10,1,5,1,0,0,국산차를 구입한다,-3,1,2,0.8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
32,20대에도 여러 번 연애는 해보았지만… 처음으로 평생을 함께 하고 싶다는 소중한 사람을 만나게 됐어! 하지만 여러 현실적 조건들과 혼자만의 자유가 마음에 걸리기도 해. 이 시기를 놓치면 그와 결혼하진 못하지만 연인 관계는 유지할 수 있어. 어떻게 하고 싶어?,1,2,그 사람과 결혼한다,-20,1,20,1,-5,1,결혼하지 않는다,3,1,-3,0.8,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
33,"축하해! 엊그제 신입 사원이었던 너가 대리 직급이 되었네. 이제 더 큰 책임이 따르겠지만, 그만큼 돈도 더 많이 벌 거야.",1,1,대리 직급으로 승진하다,5,1,3,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27
33,축하해! 슬슬 너의 사업도 자리가 잡아가고 있는 모양이야. 일거리가 늘어나면서 전보다 더 많은 돈을 벌기 시작했어!,1,1,프리랜서로서 자리잡다,5,1,3,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
34,"길을 걷다보니 귀여운 아이들의 모습이 눈에 밟히는구나. 34살이 되면서 슬슬 너와 너의 배우자를 닮은 아이를 낳고 싶은 생각이 들지만, 한편으로는 여러 현실적 조건들로 인해 출산이 망설여지기도 해. 어때, 너희 부부는 아이를 낳을 거야?",1,2,내 아이를 낳는다,-20,1,25,1,-5,1,아이를 낳지 않는다,4,1,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
35,회사 생활을 한 지도 벌써 8년이네. 지금 회사도 나쁘지 않지만 한 회사에 오래 다니면서 매너리즘에 빠진 것 같다는 생각도 들었어. 그러던 중 라이벌 회사에서 스카우트 제의가 들어왔군! 더 좋은 연봉을 제시 받았지만 정든 동료들을 두고 떠나야 해서 마음이 편하지 않아. 어떻게 하고 싶어?,1,2,지금 회사에 머무른다,0,0,2,0.7,0,0,이직한다,5,1,-2,0.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
36,첫째를 낳고 기르다보니 눈에 넣어도 아프지 않을 것 같다는 게 무슨 의미인지 알게 되었어. 너의 2세는 어린 너를 보는 것 같이 정말 귀엽구나. 아이에게 동생을 만들어주고 싶다는 마음이 들기도 하는데… 한편으로는 한 명도 쉽지 않았는데 두 명은 정말 버거울 수도 있겠다는 생각도 들어. 너희 부부는 둘째를 낳을 거야?,0.5,2,둘째를 낳는다,-15,1,15,1,0,0,둘째는 낳지 않는다,2,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31
36,주변의 지인들이 아이들과 즐거운 시간을 보내는 모습들이 자꾸 눈에 아른거리는구나. 36살인 너는 아이를 낳을까 하는 고민을 다시금 하고 있어. 하지만 여러 현실적 조건들은 늘 남아있지. 너희 부부는 아이를 낳을 거니? 이 시기가 출산의 마지막 기회야.,0.6,2,내 아이를 낳는다,-20,1,15,1,0,0,아이를 낳지 않는다,4,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32
37,축하해! 벌써 과장 직급이 됐구나. 이제 업무도 완전히 능숙해졌고 본격적으로 실무 및 관리 일을 담당하게 될꺼야. 부담도 있지만 너의 성과를 인정 받는 건 언제나 기분 좋은 일이지. 물론 돈으로도!,1,1,과장 직급으로 승진하다,10,1,3,0.8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33
37,축하해! 일거리가 이렇게 많이 늘다니. 너의 시스템을 확장하는 단계에 있구나. 부담도 있지만 너의 역량을 확인하는 건 언제나 설레는 일이지. 물론 돈으로도!,1,1,사업을 확장하다,10,1,3,0.8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34
38,"38살이 되자 이제 삶에 어느 정도 여유가 생겼구나. 너는 평범한 일상에 활력을 불어 넣어줄 문화 생활을 해보려고 해. 사진기, 스피커, 시계 수집 등이 좀 끌리지만… 값비싼 취미에 쓸 시간과 돈이 아깝다는 생각도 있구나. 그럼에도 문화생활에 투자해볼래?",1,2,문화 생활에 투자한다,-3,1,3,1,0,0,값비싼 문화생활은 하지 않는다,1,1,-2,0.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35
39,"쳇바퀴 같은 일상 속 지루한 일상을 벗어나 여행을 떠나고 싶다는 생각을 하고 있어. 남들이 다 하는 일반적인 여행은 너에게 큰 자극이 되지 못하지. 자전거 여행? 괜찮네, 비교적 젊은 나이인 지금이 좋은 타이밍인 것 같아. 너는 자전거 여행을 할 거야?",0.6,2,자전거 여행을 한다,-3,1,3,0.8,0,0,여행가지 않는다,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36
40,"40세가 된 너의 주변에는 슬슬 건강을 생각하며 금연을 하는 사람들이 생기고 있어. 너도 그런 불안감이 없지 않지만 한편으로는 스트레스 해소 창구인 맛있는 담배를 끊고 싶지 않아하네. 담배 피고도 90살까지 사는 사람들도 있다는데… 재지팩트의 ""Smoking Dreams""를 들으며 고민을 하고 있어. 담배를 계속 피울 거야?",1,2,담배를 피운다,-1,1,3,0.8,-7,1,담배를 끊는다,1,1,-2,0.7,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37
41,"열심히 일하고 관리하며 돈을 모은 너! 이제 드디어 대한민국에서 내 집 마련의 꿈을 이룰 수 있게 되었어. 조금 무리해서 신축 아파트를 살 수 있고, 아니면 여유 있게 구축 아파트를 살 수도 있어. 어떤 곳을 살래?",1,2,신축 아파트를 구입하다,-30,1,25,1,0,0,구축 아파트를 구입한다,-20,1,15,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38
42,차장 직급이 된 걸 축하해! 오늘은 그동안의 너의 노고가 인정 받은 날이야. 이제 명실상부 부하 직원들의 존경과 상사들의 신뢰를 받는 회사의 허리가 된 만큼 자부심과 책임감을 가지고 열심히 일해보길 바라.,1,1,차장 직급으로 승진하다,15,1,3,0.6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39
42,축하해! 너의 사업도 잘 확장해서 완전한 시스템으로 정착하고 있구나. 프리랜서로서 40대까지 살아남는 것은 정말 대단한 일이지. 변화무쌍한 사회를 민감하게 주시하면서 지금처럼 열심히 일해보길 바라.,1,1,사업이 정착하다,15,1,3,0.6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
43,"40대 중반이 된 너는 어느덧 배가 조금씩 나오고 있어. 이게 나잇살이라는 건가 싶어 씁쓸하기도 하네. 젊었을 때 맛보지 못했던 산해진미도 그동안 다 경험해보았고, 이제는 식습관이 굳어가는 나이인데… 앞으로 도파민 충전해주는 배달음식과 외식을 위주로 식사할래? 아니면 건강한 집밥을 더 많이 먹을래?",1,2,배달음식&외식 위주로 먹는다,0,0,2,0.8,-3,1,집밥 위주로 먹는다,0,0,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41
44,너는 탈모에 걸렸어. 너는 너가 탈모가 아닐 거라 굳게 믿었지만 탈모는 너에게도 여지 없이 평등하게 찾아왔어.,0.4,1,탈모가 생기다…,0,0,-10,1,-5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42
45,45세가 되며 주변의 친구들이 하나 둘 각자의 삶을 살게 되니 조금 씁쓸해. 그래도 조금 더 노력을 기울여볼까? 1주일에 1번 이상 친구들을 만나서 옛날처럼 스트레스를 날릴래 아니면 이제는 1달에 1번도 부담스럽게 느껴지니?,1,2,1주일에 1번 이상 친구를 본다,-7,1,5,0.7,3,1,1달에 1번 이하 친구를 본다,1,1,0,0,-5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43
46,너는 사랑하는 가족들과 낚시 여행을 갈까 고민 중이야. 생전 낚시를 해본 적이 없지만 배를 타고 바람도 쐬고 잡은 물고기로 회 먹을 생각에 설레기도 하는구나. 한편으로는 멀리까지 가야하는 수고로움이 부담스럽고 낚시가 지루할 것 같다는 걱정도 드네. 낚시여행을 갈래?,0.6,2,낚시여행을 간다,-4,1,3,1,0,0,여행가지 않는다,1,1,-3,0.65,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44
47,축하해! 신입 사원 때 꿈만 꾸던 부장 직급이 어느덧 너의 것이 되었구나. 이제 중간관리직으로서 가장 높은 자리야. 수많은 부하 직원들을 전두 지휘하며 조직을 위해서 너의 관록을 발휘해봐!,1,1,부장 직급으로 승진하다,20,1,5,1,-5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45
47,축하해! 사업이 번창하며 너는 이제 업계에서 완전히 전문가로 인정받고 있구나. 사업에 차질이 없도록 일의 디테일에 더욱 집중하고 또 너의 직원들을 위해서 최선의 결정을 내려줘.,1,1,사업이 번창하다,20,1,5,1,-5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46
48,죽음은 누구에게나 공평해. 가정을 위해 묵묵히 헌신했던 너의 아버지에게도 마찬가지지… 영원할 것 같던 평생의 네 편인 아버지께서 돌아가셨어.,1,1,사랑하는 아버지의 죽음을 추모한다,15,0.7,-10,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47
49,어느덧 중년이 된 너는 우연히 길을 걷다 콘서트 홍보 현수막을 봤어. 세상에! 어린 시절 네 가슴을 설레게 했던 허각과 티아라가 콜라보 공연을 하네? 허각의 노래와 티아라의 춤을 즐길 수 있는 매우 드문 기회야. 문제는 중요한 미팅이 있다는 건데... 어떻게 하고 싶어?,1,2,허각 티아라 콜라보 공연을 즐긴다,-3,1,2,0.8,0,0,공연에 가지 않는다,1,1,-2,0.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48
50,전쟁 같았던 회사 생활에도 끝이 찾아왔구나. 임원을 달고 싶었겠지만 세상은 너무 빨리 바뀌니까… 젊고 유능한 후배들에게도 기회를 줄 시기가 온 것 같아. 그동안 아주 멋있게 너의 가치를 증명해왔어. 고생 많았다. 모두가 너에게 박수를 보내고 있네.,1,1,시원섭섭한 은퇴구먼,-5,1,-5,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49
50,영원할 것 같았던 너의 업에도 끝이 찾아왔구나. 요지경 같은 세상 앞에는 장사가 없네… 젊고 유능한 후배들에게도 기회를 줄 시기가 온 것 같아. 그동안 아주 멋있게 너의 가치를 증명해왔어. 고생 많았다. 모두가 너에게 박수를 보내고 있네.,1,1,시원섭섭한 은퇴구먼,-5,1,-5,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50
51,너는 퇴직 후 1년 동안 쉬면서 지냈어. 여행도 다니고 글도 쓰는 지금의 생활도 좋지만 다소 무료한 것 같다는 생각이 들었지. 그러던 중 직장에서 아드레날린이 분비되던 지난 날들을 떠올리게 됐어. 생산적으로 일하던 그 때가 문득 그리워진 너는 어떠한 선택을 할래?,1,2,새로운 직업을 가지지 않기,-5,1,7,1,-2,1,새로운 직업을 가지기,3,1,-2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51
52,우연히 술을 마신 어느 날 너는 뭔가에 홀린 듯 허름한 로또 가게에 들어가더니 생전 안 사던 로또를 하나 샀어. 상쾌한 일요일 아침 산책을 하다가 불현듯 로또 당첨 번호를 확인해야겠다는 생각이 들었지. 그런데 세상에… 너는 로또 1등에 당첨되었어. 심장이 미친 듯이 뛰는구나.,0.01,1,로또 당첨! 인생 역전!!!!,50,1,20,1,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52
53,50대가 넘어가면서 아침에 일어나는 게 점점 힘들어지는 걸 느끼는구나. 기침도 잦아지는 것 같고… 주기적으로 운동하면 그래도 개운하게 일어날 수 있을 거야. 하지만 젊을 때만큼 운동이 쉽고 재밌지 않을 거고 귀찮기도 하지. 너는 어떤 선택을 할래?,1,2,주기적으로 운동한다,-1,1,-1,0.7,6,1,운동하지 않는다,1,1,1,0.7,-10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53
54,죽음은 누구에게나 공평해. 가정을 위해 헌신했던 사랑하는 너의 부모님에게도 마찬가지야… 영원할 것 같던 평생의 네 편인 부모님께서 돌아가셨어.,1,1,사랑하는 부모님의 죽음을 추모한다,17,0.7,-12,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54
55,한 번도 춤추지 않은 날은 잃어버린 날이다… 니체가 한 말이지. 너는 신바람이 날 때면 늘 춤을 추었고 가끔은 거울 앞에서 진지하게 분석도 해볼 만큼 나름대로의 실력과 애정을 가지고 있어. 그러던 중 우연히 시니어를 대상으로 하는 댄스 대회 홍보 영상을 보게 됐어. 이때? 이 대회에 참여해볼래?,0.5,2,댄스 대회에 참가한다,3,0.15,3,1,0,0,무대에 오르지 않는다,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55
56,어느덧 너가 재무 관리를 해 온 지도 20년이 넘었어. 나쁘지 않았던 그 동안의 수익률을 보며 너는 너의 노후를 위해서 재테크 방법을 그대로 둘 지 바꿀 지 고민하고 있구나. 어떤 방법으로 재무를 관리할래?,1,3,노후일수록 더욱 안전하게. 예적금 100,10,1,0,0,0,0,반반이 최고야. 예금과 주식 반반,15,0.7,0,0,0,0,풍족한 노후는 꽁짜가 아니야. 주식 100,25,0.4,-4,0.4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56
57,지인의 장례식장에서 슬픈 마음에 술을 한 잔 했네. 대리를 부를까 망설이다 거리도 가깝고 술도 한 잔 밖에 마시지 않았다는 생각에 운전대를 잡고 말았군. 아뿔싸 너는 음주 운전에 걸리고 말았어. 안타깝지만 무슨 일이 있어도 음주 운전은 안돼.,1,1,음주 운전에 걸려 수치심을 느낀다,0,0,-10,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57
58,어느덧 58세 된 너. 긴 결혼 생활을 돌이켜 생각해보니 불현듯 무언가 놓치고 있는 것 같다는 기분이 들었어. 어떤 커플에게는 이혼이 최고의 선택일 수도 있지. 남은 인생은 새로운 세상을 찾아 떠나볼래? 아니면 다시 한 번 그의 손을 잡아볼래?,0.1,2,이혼한다,2,1,3,0.7,0,0,결혼생활을 유지한다,0,0,5,0.8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58
59,주변에 술로 고생하는 사람들을 많이 보면서 마음이 복잡해 보이네. 하지만 사회 생활로 다져진 너는 술 없이는 진솔한 이야기를 하기 어렵고 혼자만의 가벼운 음주를 즐기기도 하지. 한 번 사는 인생… 지금처럼 술을 마실래? 아니면 금주를 해볼래?,1,2,술을 계속 마신다,-5,1,3,0.7,-10,1,금주한다,1,1,-5,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59
60,너가 60세라니 믿기지 않네. 환갑 기념으로 조금 특별한 곳으로의 여행을 생각하고 있어. 숨 막힐 듯 광활한 우유니 소금 사막의 낮과 밤을 어린 시절부터 꼭 보고 싶었는데 지금이 적기인 것 같아. 다만 돈도 깨질테고 체력도 예전같지 않아서 쉬운 결정은 아니야. 그래도 여행을 갈 거야?,0.5,2,우유니 소금 사막에 간다,-5,1,3,0.7,0,0,여행가지 않는다,1,1,-2,0.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60
62,이제는 어렸을 때와 다르게 반려동물을 키우는 것이 경제적으로 부담스럽지 않지. 중년의 외로움을 달래기 위해 반려동물을 키우고 싶다는 생각이 들어. 그런데 체력도 떨어지고 책임감이 많이 필요한 일이니 섣불리 결정하기 어렵네. 너는 반려동물을 기를 거야?,1,2,반려동물을 기른다,-4,1,5,1,0,0,반려동물을 기르지 않는다,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61
65,한평생 일을 해오며 꾸준히 국민 연금을 넣었었지. 65세가 된 지금 이제는 넣어뒀던 돈을 받을 나이가 되었어. 보다 여유로운 노후 생활을 할 수 있기를 바랄게. 축하해!,1,1,국민 연금을 받는다,10,1,5,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62
68,너는 바쁘다는 핑계로 미루고 미루던 건강검진을 드디어 받게 됐어. 새하얗고 소독약 냄새가 나는 대학병원 복도에 앉아있으니 괜히 작아지는 기분이 드는 것 같아. 의사가 너를 부르는데… 이런. 지병이 생겼다는 것을 알게 됐어. 너도 나이가 들긴 들었구나. 앞으로 건강 관리에 더 신경을 쓰자.,1,4,고혈압에 걸리다,-2,1,-5,1,-3,1,당뇨에 걸리다,-2,1,-8,1,-1,1,위염에 걸리다,-1,1,-2,1,-1,1,관절염에 걸리다,-3,1,-3,1,-2,1,,,,,,,,,,,,,,,,,,,,,,63
